,condition,story,visual_clarity,visual_creativity,narrative_clarity,narrative_creativity,overall
0,c,2,4,2,2,3,5
1,w,2,0,4,2,1,5
2,w,2,4,2,3,1,4
3,c,2,2,1,2,3,0
4,w,1,5,3,1,3,4
5,c,2,3,3,1,2,3
6,c,1,5,3,1,3,4
7,w,2,1,5,3,3,1
8,w,2,2,2,1,3,3
9,c,3,1,3,4,0,2
10,c,1,1,1,2,4,2
11,w,2,3,4,5,4,1
12,c,2,3,5,2,0,5
13,w,2,4,3,5,4,3
14,w,2,1,3,4,2,3
15,w,3,0,4,0,3,5
16,c,2,1,4,3,1,0
17,w,3,4,4,2,3,2
18,c,3,4,3,2,0,0
19,w,1,3,3,5,2,5
20,c,1,5,5,4,2,5
21,c,1,2,3,1,2,1
22,c,3,0,2,4,5,0
23,w,2,2,5,5,4,3